date,09:00:00,56.054054054054056,12.97117970316921
date,09:01:19,56.054054054054056,12.97117970316921
date,09:02:07,56.054054054054056,12.97117970316921
date,09:02:56,56.054054054054056,12.97117970316921
date,09:04:31,56.054054054054056,12.938913086992171
date,09:06:00,56.054054054054056,12.97117970316921
date,09:06:33,56.054054054054056,12.97117970316921
date,09:09:18,56.054054054054056,12.97117970316921
date,09:10:31,56.054054054054056,13.003446319346248
date,09:11:03,56.054054054054056,13.003446319346248
date,09:12:26,56.054054054054056,13.003446319346248
date,09:12:49,56.03603603603604,12.997374892675321
date,09:13:41,56.03603603603604,13.029626443277492
date,09:14:06,56.03603603603604,13.029626443277492
date,09:14:26,56.03603603603604,13.029626443277492
date,09:15:07,56.03603603603604,13.029626443277492
date,09:15:38,56.03603603603604,13.029626443277492
date,09:16:18,56.01801801801802,13.023546919401797
date,09:16:53,56.01801801801802,13.055783421677544
date,09:17:56,56.01801801801802,13.055783421677544
date,09:19:32,56.0,13.081917295286281
date,09:23:00,56.0,13.081917295286281
date,09:25:03,56.0,13.081917295286281
date,09:28:06,55.98198198198198,13.075821647498772
date,09:28:32,55.96396396396396,13.101924430148419
date,09:29:14,55.96396396396396,13.101924430148419
date,09:29:47,55.96396396396396,13.101924430148419
date,09:30:06,55.96396396396396,13.101924430148419
date,09:31:02,55.945945945945944,13.095827731663988
date,09:31:28,55.945945945945944,13.095827731663988
date,09:32:08,55.945945945945944,13.095827731663988
date,09:32:58,55.927927927927925,13.089737998366287
date,09:36:00,55.927927927927925,13.089737998366287
date,09:38:14,55.927927927927925,13.089737998366287
date,09:40:00,55.909909909909906,13.083655219339485
date,09:41:08,55.909909909909906,13.083655219339485
date,09:41:31,55.909909909909906,13.083655219339485
date,09:42:07,55.909909909909906,13.083655219339485
date,09:42:50,55.891891891891895,13.07757938369091
date,09:43:38,55.891891891891895,13.07757938369091
date,09:44:24,55.891891891891895,13.07757938369091
date,09:45:33,55.873873873873876,13.071510480550987
date,09:47:47,55.873873873873876,13.071510480550987
date,09:50:00,55.873873873873876,13.071510480550987
