date,time,lat,lon
2022-06-06,14:44:12,55.6036036036036,13.013196602872021
2022-06-06,14:43:13,55.6036036036036,13.013196602872021
2022-06-06,14:42:12,55.6036036036036,13.013196602872021
2022-06-06,14:41:12,55.6036036036036,13.013196602872021
2022-06-06,14:40:12,55.6036036036036,13.013196602872021
2022-06-06,14:39:13,55.6036036036036,13.013196602872021
2022-06-06,14:38:12,55.6036036036036,13.013196602872021
2022-06-06,14:37:12,55.6036036036036,13.013196602872021
2022-06-06,14:36:13,55.6036036036036,13.013196602872021
2022-06-06,14:35:12,55.6036036036036,13.013196602872021
2022-06-06,14:34:12,55.62162162162162,13.05108721487909
2022-06-06,14:33:12,55.62162162162162,13.05108721487909
2022-06-06,14:32:12,55.6036036036036,13.076986782297864
2022-06-06,14:31:12,55.63963963963964,13.089013966957388
2022-06-06,14:30:12,55.63963963963964,13.089013966957388
2022-06-06,14:29:12,55.65765765765766,13.126976919658615
2022-06-06,14:28:12,55.65765765765766,13.158916036251458
2022-06-06,14:27:12,55.67567567567568,13.164976133660442
2022-06-06,14:26:12,55.67567567567568,13.164976133660442
2022-06-06,14:25:12,55.693693693693696,13.203011669766832
2022-06-06,14:24:12,55.693693693693696,13.203011669766832
2022-06-06,14:23:12,55.693693693693696,13.203011669766832
2022-06-06,14:22:12,55.693693693693696,13.203011669766832
2022-06-06,14:21:12,55.693693693693696,13.203011669766832
2022-06-06,14:20:12,55.693693693693696,13.203011669766832
